date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_ema_cross,sig_gap_open,sig_prev_day_sr,sig_quality_score
2026-03-17,skip,0.0,0.0,0.0,0.0,0.0,605.8900146484375,602.2899780273438,no_entry,0.0,0.0,30,,,False,0,0,0,20,0,10,0,-10.0,0.0,0.0,4.0
2026-03-18,put,598.9500122070312,600.95,600.95,597.45,595.95,603.1500244140625,598.7100219726562,stop,-2.0,-0.3339,-40,10:30,11:00,False,-5,0,0,-20,0,-10,5,-10.0,0.0,0.0,5.0
2026-03-19,skip,0.0,0.0,0.0,0.0,0.0,592.3699951171875,587.0800170898438,no_entry,0.0,0.0,-25,,,False,0,0,0,-20,0,0,5,-10.0,-10.0,0.0,4.0
2026-03-20,put,585.83,584.04,588.22,584.04,582.25,591.1500244140625,585.2349853515625,target_1,1.79,0.3055,-65,10:35,13:35,True,-5,-20,0,-20,5,-10,5,-10.0,0.0,0.0,8.0
2026-03-23,call,594.47,592.02,592.02,596.31,598.15,595.0798950195312,589.030029296875,stop,-2.45,-0.4121,45,11:00,11:35,False,5,0,0,20,5,10,5,-10.0,10.0,0.0,6.0
2026-03-24,skip,0.0,0.0,0.0,0.0,0.0,586.280029296875,581.9400024414062,no_entry,0.0,0.0,-50,,,False,0,-20,0,-20,5,0,5,-10.0,-10.0,0.0,8.0
2026-03-25,call,590.9,589.01,589.01,592.32,593.73,591.3699951171875,586.7000122070312,stop,-1.89,-0.3199,55,10:35,11:05,False,5,20,0,20,5,0,5,-10.0,10.0,0.0,8.0
2026-03-26,skip,0.0,0.0,0.0,0.0,0.0,584.6099853515625,580.4600219726562,no_breakout,0.0,0.0,-10,,,False,0,-20,0,20,5,0,5,,,,
2026-03-27,put,566.52001953125,568.61,568.61,564.95,563.39,571.02001953125,566.1500244140625,stop,-2.09,-0.3689,-65,10:30,11:20,False,-5,-20,0,-20,5,-10,5,-10.0,-10.0,0.0,8.0
2026-03-30,put,562.7,565.1,565.1,560.9,559.1,568.0399780273438,562.1099853515625,stop,-2.4,-0.4265,-65,10:35,11:05,False,-5,-20,0,-20,5,-10,5,-10.0,10.0,0.0,8.0
2026-03-31,call,568.72998046875,566.61,566.61,570.32,571.91,569.0399780273438,564.22998046875,stop,-2.12,-0.3728,45,10:30,10:40,False,5,0,0,20,5,10,5,-10.0,10.0,0.0,5.0
2026-04-01,call,583.97,585.18,582.36,585.18,586.38,584.3599853515625,580.4199829101562,target_1,1.21,0.2072,65,10:30,10:50,True,5,20,0,20,5,10,5,-10.0,10.0,0.0,8.0
2026-04-02,call,578.92,583.63,575.78,581.28,583.63,579.7000122070312,571.9199829101562,target_2,4.71,0.8136,65,10:30,10:35,True,5,20,0,20,5,10,5,-10.0,-10.0,0.0,9.0
2026-04-06,skip,0.0,0.0,0.0,0.0,0.0,590.6099853515625,585.72998046875,no_entry,0.0,0.0,60,,,False,0,20,0,20,5,10,5,10.0,0.0,0.0,9.0
2026-04-07,skip,0.0,0.0,0.0,0.0,0.0,587.0599975585938,579.6900024414062,no_breakout,0.0,0.0,-20,,,False,0,0,20,-20,5,-10,5,,,,
2026-04-08,skip,0.0,0.0,0.0,0.0,0.0,609.8800048828125,604.8599853515625,no_breakout,0.0,0.0,15,,,False,-5,20,20,-20,5,-10,5,,,,
2026-04-09,skip,0.0,0.0,0.0,0.0,0.0,606.6699829101562,603.0900268554688,no_breakout,0.0,0.0,10,,,False,-5,20,20,-20,5,-10,0,,,,
2026-04-10,call,612.86,611.87,611.87,613.6,614.34,613.1099853515625,610.6599731445312,stop,-0.99,-0.1615,70,10:30,10:40,False,5,20,20,20,5,0,0,10.0,0.0,0.0,8.0
2026-04-13,call,611.84,613.1,610.16,613.1,614.36,612.25,608.1099853515625,target_1,1.26,0.2059,80,10:40,12:25,True,5,20,20,20,5,10,0,10.0,0.0,0.0,8.0
2026-04-14,call,623.760009765625,625.13,621.93,625.13,626.51,623.780029296875,620.0999755859375,target_1,1.37,0.2196,80,10:30,11:40,True,5,20,20,20,5,10,0,10.0,10.0,0.0,8.0
2026-04-15,call,631.72998046875,633.06,629.95,633.06,634.4,631.72998046875,628.2000122070312,target_1,1.33,0.2105,80,10:30,11:10,True,5,20,20,20,5,10,0,10.0,0.0,0.0,8.0
2026-04-16,skip,0.0,0.0,0.0,0.0,0.0,639.5800170898438,635.2550048828125,no_entry,0.0,0.0,-35,,,False,0,20,-20,-20,5,-10,0,10.0,0.0,-8.0,3.0
2026-04-17,call,647.18,648.23,645.78,648.23,649.28,647.530029296875,644.0700073242188,target_1,1.05,0.1622,40,10:30,10:40,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,7.0
2026-04-20,put,646.35,645.53,647.44,645.53,644.71,648.75,646.0800170898438,target_1,0.82,0.1269,-40,10:30,10:40,True,-5,20,-20,-20,5,-10,0,10.0,0.0,0.0,5.0
2026-04-21,skip,0.0,0.0,0.0,0.0,0.0,650.2000122070312,646.4500122070312,no_entry,0.0,0.0,30,,,False,5,20,-20,20,5,0,0,10.0,0.0,0.0,7.0
2026-04-22,call,652.75,652.9401245117188,650.64,654.33,655.92,652.7899780273438,648.52001953125,time_stop,0.1901,0.0291,40,10:30,15:00,True,5,20,-20,20,5,10,0,10.0,10.0,0.0,8.0
2026-04-23,put,652.64,651.63,653.99,651.63,650.62,655.6199951171875,652.3099975585938,target_1,1.01,0.1548,-25,13:05,13:10,True,0,20,-20,-20,5,0,0,10.0,0.0,0.0,3.0
2026-04-24,skip,0.0,0.0,0.0,0.0,0.0,659.8499755859375,656.5300903320312,no_entry,0.0,0.0,-25,,,False,0,20,-20,-20,5,0,0,10.0,10.0,0.0,3.0
2026-04-27,put,661.01,662.29,662.29,660.05,659.09,663.8499755859375,660.6900024414062,stop,-1.28,-0.1936,-35,11:20,11:40,False,0,20,-20,-20,5,-10,0,10.0,0.0,0.0,5.0
2026-04-28,skip,0.0,0.0,0.0,0.0,0.0,659.6400146484375,655.2750244140625,no_entry,0.0,0.0,25,,,False,0,20,-20,20,5,0,0,10.0,-10.0,0.0,7.0
