config,trades_taken,win_rate,total_pnl,avg_pnl,profit_factor,call_wr,put_wr
SPY_baseline,144,59.02777777777778,34.7549,0.24135347222222225,1.3983365062045774,61.53846153846154,52.5
SPY_Cascade Filter (≥2),112,58.92857142857143,17.290000000000003,0.15437499999999998,1.2361860528652415,63.41463414634146,46.666666666666664
SPY_Cascade Filter (≥3),90,54.44444444444444,-4.659999999999997,-0.05177777777777779,0.9288277968690342,60.86956521739131,33.33333333333333
SPY_Cascade Filter (≥4),61,54.09836065573771,-8.250000000000002,-0.1352459016393443,0.8372941524504488,62.7906976744186,33.33333333333333
"SPY_Cascade Veto (quality<5, cascade<3)",124,54.83870967741935,8.164900000000005,0.06584596774193549,1.0972589669339285,58.94736842105262,41.37931034482759
QQQ_baseline,144,54.861111111111114,32.017099999999985,0.2223409722222222,1.2816965970749115,61.458333333333336,41.66666666666667
QQQ_Cascade Filter (≥2),127,55.118110236220474,26.6171,0.20958346456692914,1.2653005488990616,62.35294117647059,40.476190476190474
QQQ_Cascade Filter (≥3),91,53.84615384615385,4.647099999999998,0.051067032967032945,1.0616341791106139,63.07692307692307,30.76923076923077
QQQ_Cascade Filter (≥4),71,57.74647887323944,6.3420999999999985,0.08932535211267606,1.108202773782653,69.81132075471697,22.22222222222222
"QQQ_Cascade Veto (quality<5, cascade<3)",131,54.961832061068705,28.49709999999999,0.21753511450381682,1.2720536219750045,61.79775280898876,40.476190476190474
